Account Number,Category,Quantity,UnitPrice,ExtendedPrice
296809,Belt,13,44.48,578.24
98022,Shoes,19,53.62,1018.78
563905,Shirt,12,24.16,289.92
93356,Shirt,5,82.68,413.4
659366,Shirt,18,99.64,1793.52
563905,Shirt,17,52.82,897.94
995267,Shoes,18,15.28,275.04
524021,Shoes,7,78.78,551.46
929400,Shoes,17,38.19,649.23
563905,Shirt,12,26.98,323.76
995267,Shirt,19,60.22,1144.18
524021,Belt,6,13.12,78.72
758133,Shoes,4,59.69,238.76
555594,Shirt,12,97.25,1167
201259,Shoes,9,81.44,732.96
93356,Shoes,18,53.33,959.94
563905,Shirt,4,35.62,142.48
201259,Shirt,17,98.23,1669.91
758133,Belt,15,69.52,1042.8
296809,Shirt,12,80.12,961.44
750461,Belt,13,81.19,1055.47
929400,Shoes,2,48.15,96.3
563905,Shoes,1,54.94,54.94
734922,Belt,4,57.75,231
296809,Shirt,14,47.68,667.52
304860,Belt,2,41.4,82.8
563905,Shirt,6,58.52,351.12
750461,Shoes,12,96.62,1159.44
850140,Shirt,12,93.67,1124.04
115138,Shirt,12,72.63,871.56
711951,Shirt,2,90.8,181.6
676847,Shirt,6,42.96,257.76
711951,Shirt,1,71.5,71.5
305803,Shirt,1,74.43,74.43
201259,Shoes,8,35.38,283.04
115138,Belt,16,24.87,397.92
296809,Belt,14,15.33,214.62
93356,Shirt,12,94.34,1132.08
850140,Shoes,18,12.78,230.04
676847,Shoes,3,28.71,86.13
115138,Shirt,11,11.21,123.31
201259,Shirt,4,29.79,119.16
201259,Shoes,11,35.82,394.02
676847,Belt,6,55.43,332.58
304860,Shoes,4,95.75,383
304860,Shoes,10,12.63,126.3
850140,Shoes,10,26.21,262.1
758133,Shoes,11,92.1,1013.1
750461,Shoes,10,98.27,982.7
555594,Shirt,6,65.4,392.4
995267,Shirt,10,23.79,237.9
201259,Shoes,7,52.01,364.07
758133,Shirt,11,13.06,143.66
850140,Shoes,14,92.43,1294.02
201259,Shirt,14,57.69,807.66
555594,Shirt,10,83.05,830.5
98022,Shoes,10,26.49,264.9
929400,Shoes,15,88.24,1323.6
305803,Shoes,13,75.38,979.94
850140,Shoes,16,66.61,1065.76
734922,Shoes,3,99.88,299.64
995267,Shirt,7,41.75,292.25
115138,Shirt,13,22.23,288.99
929400,Belt,18,71.38,1284.84
98022,Shoes,9,89.82,808.38
115138,Shirt,10,85.12,851.2
555594,Shirt,17,75.04,1275.68
750461,Shirt,3,45.05,135.15
563905,Shoes,16,76.77,1228.32
659366,Shirt,11,99.09,1089.99
555594,Shirt,3,71.25,213.75
563905,Belt,14,40.3,564.2
659366,Shirt,1,10.38,10.38
304860,Shoes,8,69.32,554.56
758133,Belt,12,82.74,992.88
524021,Belt,17,81.64,1387.88
676847,Shoes,5,50.63,253.15
850140,Shoes,6,81.41,488.46
115138,Belt,13,18.45,239.85
563905,Shirt,17,17.36,295.12
304860,Shirt,9,55.09,495.81
995267,Shoes,3,17.54,52.62
758133,Shirt,7,82.51,577.57
304860,Belt,3,14.9,44.7
659366,Shirt,6,89.05,534.3
563905,Belt,18,57.99,1043.82
201259,Shirt,1,35.82,35.82
734922,Shoes,5,56,280
555594,Belt,7,77.52,542.64
555594,Shoes,12,47.07,564.84
758133,Shirt,18,70.12,1262.16
563905,Shirt,20,28.61,572.2
115138,Shirt,12,73.92,887.04
201259,Shirt,2,38.82,77.64
299771,Shirt,14,69.26,969.64
734922,Shoes,19,28.54,542.26
296809,Shoes,7,79.15,554.05
299771,Shoes,20,36.19,723.8
750461,Shoes,19,93.21,1770.99
201259,Shoes,5,23.76,118.8
115138,Shirt,2,44.1,88.2
115138,Shoes,20,41.05,821
305803,Shoes,19,47.78,907.82
711951,Shoes,9,95.92,863.28
93356,Shoes,4,50.1,200.4
98022,Belt,10,75.51,755.1
555594,Shirt,19,64.38,1223.22
524021,Shirt,12,17.42,209.04
115138,Shoes,11,81.67,898.37
555594,Shirt,6,74.08,444.48
299771,Shoes,18,25.91,466.38
524021,Shoes,6,57.32,343.92
750461,Belt,6,78.61,471.66
563905,Shoes,5,50.85,254.25
750461,Shirt,13,72.12,937.56
299771,Shoes,14,24.91,348.74
555594,Shoes,9,43.25,389.25
299771,Belt,12,66.32,795.84
659366,Shirt,2,24.3,48.6
734922,Shoes,12,53.7,644.4
201259,Shoes,16,80.82,1293.12
555594,Belt,10,91.71,917.1
563905,Shirt,11,16.05,176.55
93356,Shirt,17,86.18,1465.06
758133,Shoes,14,87.56,1225.84
676847,Shoes,20,27.49,549.8
93356,Shoes,4,73.11,292.44
758133,Shirt,11,90.64,997.04
555594,Shirt,12,72.17,866.04
659366,Shoes,9,50.76,456.84
93356,Shirt,16,21.43,342.88
93356,Shoes,20,21.09,421.8
524021,Shirt,20,25.37,507.4
676847,Shirt,20,29.59,591.8
995267,Shirt,17,20.24,344.08
850140,Belt,13,71.35,927.55
524021,Shirt,16,79.67,1274.72
711951,Shoes,2,60.75,121.5
299771,Shirt,5,44.47,222.35
93356,Shoes,2,86.17,172.34
555594,Shoes,14,54.5,763
299771,Shirt,18,37.75,679.5
299771,Shirt,20,32.7,654
296809,Shoes,15,93.06,1395.9
750461,Shoes,17,49.59,843.03
750461,Belt,17,45.43,772.31
711951,Shirt,2,31.54,63.08
304860,Shoes,6,93.02,558.12
750461,Shirt,16,57.02,912.32
711951,Shirt,11,53.17,584.87
305803,Shoes,12,52.51,630.12
115138,Shoes,13,96.31,1252.03
201259,Shoes,16,90.97,1455.52
734922,Shirt,7,64.02,448.14
563905,Shoes,15,18.41,276.15
305803,Shoes,2,29.63,59.26
750461,Shirt,4,46.82,187.28
850140,Shirt,9,93.69,843.21
93356,Shoes,15,64.11,961.65
304860,Shoes,3,48.87,146.61
929400,Shoes,14,87.01,1218.14
929400,Shirt,4,17.98,71.92
734922,Shirt,10,93.77,937.7
734922,Shoes,6,84.73,508.38
711951,Belt,11,45.49,500.39
299771,Shoes,17,70.23,1193.91
995267,Shirt,10,51.29,512.9
93356,Shirt,16,75.48,1207.68
676847,Shoes,19,56.9,1081.1
524021,Shirt,10,71.89,718.9
929400,Shoes,10,13.02,130.2
304860,Shoes,3,79.49,238.47
734922,Shirt,11,81.53,896.83
659366,Shoes,1,18.68,18.68
201259,Shoes,20,45.32,906.4
711951,Shirt,10,68.74,687.4
750461,Shirt,10,90,900
995267,Belt,6,20.3,121.8
563905,Shirt,17,58.67,997.39
659366,Shirt,2,12.68,25.36
676847,Shoes,17,49.68,844.56
524021,Shoes,2,95.37,190.74
524021,Shirt,20,96.98,1939.6
296809,Shirt,16,23.79,380.64
995267,Shirt,2,37.86,75.72
304860,Shirt,9,66.18,595.62
